day,month,year,precip,tmax,tmin,srad
17,8,1980,25.1,30.32824726,21.32824726,20.42240939
18,8,1980,65.5,30.75971047,22.15971047,11.64651395
19,8,1980,0,29.99710367,21.59710367,11.65696778
20,8,1980,0.3,31.51615342,22.21615342,14.40375918
21,8,1980,0,31.54302826,22.74302826,18.67859288
22,8,1980,2.6,31.82967564,22.02967564,15.95318287
23,8,1980,0,32.15836583,21.35836583,24.96720807
24,8,1980,0,30.90025524,20.90025524,19.95090006
25,8,1980,4.4,30.43948097,21.63948097,17.82786543
26,8,1980,2.4,31.58660216,23.88660216,15.39388209
27,8,1980,33,31.35494776,22.55494776,21.6850771
28,8,1980,8,27.7031193,20.0031193,12.19654091
29,8,1980,0,29.86405439,24.06405439,14.8062318
30,8,1980,0,31.02998319,23.42998319,18.81493007
31,8,1980,4.9,32.34059147,21.54059147,18.92415835
1,9,1980,92,31.2475921,21.2475921,14.53085566
2,9,1980,0.2,30.45247822,21.05247822,18.02810612
3,9,1980,0,32.42304895,23.52304895,22.71004317
4,9,1980,15,28.63866463,21.43866463,9.309319464
5,9,1980,10.2,29.56032429,20.96032429,24.73780579
6,9,1980,0,29.80582923,21.90582923,17.18533656
7,9,1980,1.6,31.16342212,20.16342212,20.7431598
8,9,1980,16.5,31.61444082,22.61444082,22.75865537
9,9,1980,0,30.2875859,21.0875859,20.13736782
10,9,1980,6.2,29.86283913,21.06283913,17.20353397
11,9,1980,9.8,30.88954682,21.28954682,17.82499989
12,9,1980,105,31.25322361,20.65322361,21.69614519
13,9,1980,0.3,31.9316292,23.1316292,10.0877628
14,9,1980,0,32.23409448,21.23409448,23.24815092
15,9,1980,0.7,31.9754595,23.5754595,15.35006735
16,9,1980,0,32.29567613,22.49567613,18.29141476
17,9,1980,53.5,32.41641025,23.31641025,11.93789266
18,9,1980,0,32.22319203,23.12319203,13.9485137
19,9,1980,15,32.57849271,21.97849271,23.54956671
20,9,1980,0,32.32724041,21.32724041,21.84050259
21,9,1980,0,31.86151345,22.56151345,18.89147152
22,9,1980,4,32.23721873,23.53721873,12.22528936
23,9,1980,0,33.45397969,24.25397969,17.63856119
24,9,1980,6,33.42579453,24.82579453,25.68033418
25,9,1980,0.4,33.61275022,24.41275022,13.28814445
26,9,1980,0,32.39456204,23.49456204,23.18117894
27,9,1980,0,34.38445561,23.58445561,23.78701407
28,9,1980,0,32.17557588,23.37557588,17.28042821
29,9,1980,0,32.18627323,25.38627323,23.4486932
30,9,1980,2.4,31.12702813,20.92702813,18.49087913
1,10,1980,54.2,31.78609519,22.58609519,18.32218746
2,10,1980,0,31.81271215,23.61271215,23.08872166
3,10,1980,3.5,31.63705173,22.63705173,18.90782841
4,10,1980,0.2,28.27249578,22.67249578,17.19636501
5,10,1980,66,31.97865393,19.77865393,20.10425286
6,10,1980,135,30.53353769,22.23353769,15.00927822
7,10,1980,0.2,30.36726948,21.16726948,9.614582059
8,10,1980,66,31.18588022,21.78588022,13.74800293
9,10,1980,12.8,31.93639762,24.03639762,17.10653181
10,10,1980,1.6,33.31231928,22.31231928,9.117492816
11,10,1980,0,32.45362767,23.85362767,23.19010506
12,10,1980,0,33.04395439,22.04395439,24.38626443
13,10,1980,9.4,29.58396834,24.18396834,22.98175921
14,10,1980,11.7,33.96907625,23.66907625,17.61149113
15,10,1980,3,31.96232499,23.16232499,9.508591908
16,10,1980,0,31.50773843,22.10773843,19.23902572
17,10,1980,0.8,30.86429925,22.66429925,19.82092841
18,10,1980,38.5,30.69668666,21.09668666,10.07170973
19,10,1980,0,30.43609865,20.43609865,14.91035993
20,10,1980,2.6,28.8501149,19.1501149,20.64550013
21,10,1980,0,30.93089287,21.13089287,21.06918817
22,10,1980,0.8,29.83050709,21.33050709,20.88677771
23,10,1980,0,26.69002581,21.09002581,25.23181474
24,10,1980,2.9,31.7967475,22.8967475,14.49370082
25,10,1980,0,30.13950118,22.13950118,21.24276903
26,10,1980,36.7,31.2004845,22.1004845,10.08839105
27,10,1980,0,28.57284931,20.47284931,16.52402589
28,10,1980,0,29.47912054,22.07912054,20.24359472
29,10,1980,0,30.26017881,24.06017881,19.31329
30,10,1980,0,28.69513521,23.19513521,23.46585636
31,10,1980,0,32.68755558,23.58755558,22.83152093
1,11,1980,0,31.2,22.5,21.45394935
2,11,1980,77.5,32.24510259,21.5,10.70826817
3,11,1980,0,30.6,21,11.13504892
4,11,1980,0,29.4,20.5,17.04841221
5,11,1980,1.7,31,20.5,19.83408705
6,11,1980,0,30.8,22.5,12.25993801
7,11,1980,2.4,31,23.5,19.03135958
8,11,1980,0,31.87122317,22,21.21213978
