day,month,year,precip,tmax,tmin,srad
4,12,1980,0,32.7,22.4,17.83620212
5,12,1980,0,31.5,23.6,12.76998778
6,12,1980,0,33.2,22.5,17.65979159
7,12,1980,0,33.2,23,21.82316656
8,12,1980,0,31.6,23.4,14.60925079
9,12,1980,0.8,32.2,23.2,14.88692621
10,12,1980,0,33.5,22.2,21.78008428
11,12,1980,0.8,32.6,23.2,16.73807823
12,12,1980,4.5,31.2,23.8,10.12128598
13,12,1980,1.2,31.6,22.8,13.27661275
14,12,1980,0,33,22.6,16.28735648
15,12,1980,0.7,33,22.2,15.70898748
16,12,1980,5.6,31.6,24,12.83549448
17,12,1980,0,31.2,23.7,11.8293746
18,12,1980,0,33,22.7,20.15273667
19,12,1980,0,32.6,22.6,18.71829772
20,12,1980,0,33.6,23.2,20.72989458
21,12,1980,0,33.3,23.8,19.87229824
22,12,1980,0,33.9,22.4,18.87217202
23,12,1980,0,32.8,22.4,18.59106667
24,12,1980,0.2,32.4,22.5,13.85651007
25,12,1980,0,31.4,22,14.43823076
26,12,1980,0,31,22.7,13.43939732
27,12,1980,0.8,32.01,23.21,16.90181225
28,12,1980,0,30.8,20,17.34546808
29,12,1980,0,29.5,22,10.7297562
30,12,1980,0,30.2,22.5,10.73907914
31,12,1980,0.4,28.6,22.5,11.28365871
1,1,1981,0,32.94,22.54,19.06650894
2,1,1981,0,32.97,22.97,20.23587392
3,1,1981,0,32.99,23.09,19.99695977
4,1,1981,0,32.44,22.64,16.05907324
5,1,1981,0,32.77,22.67,18.34453544
6,1,1981,0,33.16,22.56,19.47021764
7,1,1981,0,32.84,22.94,19.1391623
8,1,1981,0,32.76,23.16,21.0501112
9,1,1981,0,33.12,23.32,17.87369768
10,1,1981,0,33.13,23.03,21.29069104
11,1,1981,0,33.03,23.13,20.44348089
12,1,1981,0,33.69,22.49,17.20032417
13,1,1981,0,33.37,21.37,21.14326018
14,1,1981,0,33.72,22.52,15.86272137
15,1,1981,0,32.9,22.9,18.54280233
16,1,1981,0,32.89,23.39,17.88256017
17,1,1981,0,33.58,22.68,18.72002494
18,1,1981,0,32.95,23.15,19.01368169
19,1,1981,0,33,23.3,18.44048445
20,1,1981,0,33,23.4,20.71667916
21,1,1981,0,32.98,23.18,14.38292518
22,1,1981,0,33.28,23.08,18.28005201
23,1,1981,0,33.4,23.3,19.04632852
24,1,1981,0,34.13,22.43,18.52949504
25,1,1981,0,33.53,22.93,16.81989942
26,1,1981,0,33.32,23.12,15.53293027
27,1,1981,0,33.99,22.79,20.37181455
28,1,1981,0,33.68,21.58,17.41580529
29,1,1981,0,33.61,22.41,17.15627878
30,1,1981,0,33.64,22.44,17.92707855
31,1,1981,0,33.32,22.92,17.95728444
1,2,1981,0,33.05,23.45,20.32148091
2,2,1981,0,28.53,23.73,18.77176585
3,2,1981,0,32.22,23.82,20.524481
4,2,1981,0,32.73,23.13,21.74488184
5,2,1981,0,34.55,23.35,16.75754248
6,2,1981,0,33.13,22.93,18.80063657
7,2,1981,0,33.35,22.65,19.03850666
8,2,1981,3.8,33.17,22.97,16.53230073
9,2,1981,0,33.27,22.87,20.09780655
10,2,1981,0,32.83,22.83,18.51149058
11,2,1981,0,33.39,23.39,18.51257154
12,2,1981,0,32.29,23.89,19.89136599
13,2,1981,0,33.22,23.62,18.74650591
14,2,1981,0,33.16,23.16,18.43692131
15,2,1981,0,33.6,23.3,18.39155927
16,2,1981,0,34.19,22.99,18.9688482
17,2,1981,0,34.37,22.57,20.35365436
18,2,1981,0,33.5,23.9,17.75507732
19,2,1981,0,35.55,22.75,18.98523643
20,2,1981,0,33.69,23.29,17.39718374
21,2,1981,0,34.33,22.73,17.36400836
22,2,1981,16.2,33.34,23.74,18.44831127
23,2,1981,0,33.14,22.94,18.86398091
24,2,1981,0,33.1,23.5,19.1592081
25,2,1981,0,33.29,23.29,19.39579615
26,2,1981,0,32.95,23.75,20.28565886
27,2,1981,0,33.61,23.91,17.69469212
28,2,1981,0,33.63,23.63,19.04405374
1,3,1981,0.2,34.6,24.4,20.00313961
2,3,1981,0,34.3,24,20.45600018
3,3,1981,0,33.38,24.5,15.0625834
4,3,1981,0,35.6,24,21.09457734
5,3,1981,0,31.8,24.4,13.44974893
6,3,1981,0,30.8,24.5,12.29978591
7,3,1981,0,34,23,16.59960507
8,3,1981,0,34.3,22,17.79032669
9,3,1981,0,33.6,24.8,18.54911783
10,3,1981,0,32.5,25.1,14.92116972
11,3,1981,0,33.6,25,16.91688549
12,3,1981,0,34.7,22.6,20.03062073
13,3,1981,0,32.8,24.1,15.96975677
14,3,1981,0,32.7,22.4,16.82983648
15,3,1981,0,33.4,23.8,18.57872478
16,3,1981,0,34.2,23.2,21.81627525
